bird,sex,group,age,wt_55,Bursa_pool,Ileum_pool,SSgroup.virus.sac,SSgroup.virus.avg,SSgroup.I2.graph,virus.sac,virus.avg,virus.dpi1,virus.dpi2,virus.dpi3,virus.dpi4,virus.dpi5,virus.dpi8,virus.dpi11,virus.dpi13,virus.dpi15,virus.avg.dpi2,virus.avg.dpi3,virus.avg.dpi4,virus.avg.dpi5,virus.avg.dpi15,Rsum.dpi2,Rsum.dpi3,Rsum.dpi4,Rsum.dpi5,bursa,ileum,Cecum.BB,Cecum.CC,Cecum.Crypts,Colon.BB,Colon.CC,Colon.Crypts,Ileum.BB,Ileum.CC,Ileum.Crypts,Proximal.BB,Proximal.CC,Proximal.Crypts,AB_DPI_5,AB_DPI_8,AB_DPI_11,AB_DPI_15,AB_DPI_22,AB_DPI_29,AB_sum,AB_avg,sac_wt,RINbursa,RINbursa_seq,RINileum,RINileum_seq,lab_RINileum,Metric.virus.sac,Metric.virus.avg,SSMetric.virus.sac,SSMetric.virus.avg,virus.avg.15dpi,virus.sum.dpi1to29,nest,hatchdate,room,sacdate,bcs,wound,droop,shedstat_OLD,shedstat_spec,shedstat_conf,shedavg,sacdayshed,X20.80_group,X20.80_groupM,SS_group_A1,Confident.SS_Group.x
15,FEMALE,I-5,87,790,MSU_1,MSU_5,MODERATE,MODERATE,NA,830.1633333,14724.6,43555.04,28171.5,432.1,634.2,830.16,NA,NA,NA,NA,35863.27,14724.6,18198.21,14724.6,NA,71726.54,72158.64,72792.84,73623.01,58441.36,2655533.315,3.75,3.75,1,8,4.5,4.5,3.5,3.5,5,0,1.5,3,0,NA,NA,NA,NA,NA,0,0,770,8.744074261,8.744074261,8.291869218,8.291869218,MSU,two,four,LOW,MODERATE,14724.6,73623.01,95,14-Jun,107,9/14/2015,4,Y,N,M,M,M,726175.3333,40866.667,Low,Moderate,Moderate,Moderate
68,FEMALE,I-5,62,650,MSU_4,MSU_6,MODERATE,MODERATE,NA,774.5766667,49277.45,48143.32,49166.68,39999.27,108303.4,774.58,NA,NA,NA,NA,48655,49277.45,61403.17,49277.45,NA,97310,137309.26,245612.66,246387.24,27784.14,3339.4,4.444444444,4.444444444,2.5,1,5,5,4,5,5,5,20,35,32,NA,NA,NA,NA,NA,32,32,730,10,10,9.488903853,9.488903853,MSU,two,four,LOW,MODERATE,49277.45,246387.24,623,9-Jul,107,9/26/2015,4,N,N,M,H,H,2425633.333,38166.67,Low,Moderate,High,High
22,FEMALE,I-5,81,840,MSU_2,MSU_5,LOW,MODERATE,NA,188.665,55033.3,242093.83,1717.77,31165.67,0.56,188.67,NA,NA,NA,NA,121905.8,55033.3,68744.46,55033.3,NA,243811.6,274977.27,274977.82,275166.49,102496.835,12610.44,5,5,17,32,26,8,8,7.5,23,26,26,80,64,NA,NA,NA,NA,NA,64,64,860,8.396559926,8.396559926,8.688630405,8.688630405,MSU,two,four,LOW,MODERATE,55033.3,275166.49,81,20-Jun,107,9/16/2015,3,Y,N,S,H,H,2708731.653,9297.5,Low,Moderate,High,High
23,FEMALE,I-5,81,870,MSU_2,MSU_5,LOW,MODERATE,NA,61.56666667,12153.926,17008.6,12549.7,28370.91,2778.85,61.57,NA,NA,NA,NA,14779.15,12153.92,15177.01,12153.92,NA,29558.3,57929.21,60708.06,60769.62,15907.255,60699.325,3,3,3.5,39.5,23,4.5,45.5,20,4,0,1.5,1,32,NA,NA,NA,NA,NA,32,32,950,9.426399743,9.426399743,8.638127407,8.638127407,MSU,one,four,LOW,MODERATE,12153.92,60769.62,174,20-Jun,107,9/17/2015,4,N,N,M,M,M,598073.3333,3033.333,Low,Moderate,Moderate,Moderate
19,FEMALE,I-5,84,890,MSU_2,MSU_5,LOW,LOW,NA,0.1325,1082.456,0.35,202.37,0,5209.43,0.13,NA,NA,NA,NA,101.36,1082.46,1353.04,1082.46,NA,202.72,202.72,5412.15,5412.28,2249.075,0,0,0.5,0,0,2,0.5,0,0,0,0,0,0,128,NA,NA,NA,NA,NA,128,128,740,9.520768905,9.520768905,9.55,9.55,MSU,one,three,LOW,LOW,1082.46,5412.28,115,17-Jun,107,9/15/2015,3,N,N,L,L,L,53239.45238,6.5,Low,Low,Low,Low
59,MALE,I-5,64,940,MSU_4,MSU_6,LOW,LOW,NA,0,66.138,0,330.69,0,0,0,NA,NA,NA,NA,165.35,66.14,82.67,66.14,NA,330.69,330.69,330.69,330.69,11991.315,0,0.555555556,0,0,4,4,0.5,29,5,35,1.5,2,0,16,NA,NA,NA,NA,NA,16,16,950,10,10,9.06061784,9.06061784,MSU,zero,one,LOW,LOW,66.14,330.69,381,7-Jul,107,9/24/2015,5,N,Y,L,L,L,3256,0,Low,Low,Low,Low
35,MALE,I-5,77,730,MSU_2,MSU_6,LOW,LOW,NA,0,16.38,NA,0,0,65.52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1092.12,0,0,0,0,23,20,2,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,0,800,9.592159343,9.592159343,8.553682011,8.553682011,MSU,zero,NA,LOW,NA,16.38,65.52,212,24-Jun,107,9/19/2015,3,N,Y,L,L,L,806.1666668,0,Low,Low,Low,Low
48,FEMALE,I-5,70,841.5,MSU_3,MSU_6,LOW,LOW,NA,0,1.59,6.25,1.7,0,0,0,NA,NA,NA,NA,3.98,1.59,1.99,1.59,NA,7.95,7.95,7.95,7.95,83.94,0,80,80,80,80,35,7.5,NA,NA,NA,4,5,4.5,32,NA,NA,NA,NA,NA,32,32,730,10,10,8.328774599,8.328774599,MSU,zero,zero,LOW,LOW,1.59,7.95,402,1-Jul,107,9/21/2015,3,Y,N,L,L,L,78.33333333,0,Low,Low,Low,Low
61,FEMALE,I-15,64,810,MSU_4,,NA,MODERATE,NA,565.82,28782.19,138.67,7957.79,133757.06,670,1387.43,13.85,0,24.69,565.82,4048.23,28782.19,35630.88,28782.19,16057.26,8096.47,141853.53,142523.52,143910.96,NA,NA,1.428571429,5,14,4,5,5,25,18.33333333,2.222222222,2.5,5,5,0,64,8,32,NA,NA,104,26,660,10,10,8.843778855,NA,MSU,two,four,LOW,MODERATE,16057.26,144515.32,348,7-Jul,105,9/24/2015,4,Y,N,M,M,M,1416625.333,29770,Low,Moderate,Moderate,Moderate
57,FEMALE,I-15,64,740,MSU_4,,NA,HIGH,NA,0,167893.7,153573.29,156877.4,525420.66,3561.86,35.29,0,0,0,0,155225.35,167893.7,209858.3,167893.7,93274.28,310450.69,835871.35,839433.21,839468.49,NA,NA,12.5,11.25,1,35,23,5,23.75,8.75,4.5,80,80,54.28571429,128,128,64,64,NA,NA,384,96,860,10,10,5.9,NA,MSU,zero,four,LOW,MODERATE,93274.28,839468.49,352,7-Jul,105,9/24/2015,4,N,N,S,H,H,8262113.667,0,High,High,High,High
65,FEMALE,I-15,62,910,MSU_4,,NA,HIGH,NA,0,85017.458,32302.74,6007.97,386487.26,289.2,0.12,0,0,0,0,19155.36,85017.46,106271.79,85017.46,47231.92,38310.71,424797.98,425087.17,425087.29,NA,NA,0,2.222222222,4.5,0.5,2,20,3.5,4,3.5,0,2,2,64,64,16,64,NA,NA,208,52,750,10,10,5.132774861,NA,MSU,zero,four,LOW,MODERATE,47231.92,425087.29,513,9-Jul,105,9/24/2015,4,N,N,S,H,H,4187384.538,0,High,High,High,High
34,MALE,I-15,78,850,MSU_2,,NA,MODERATE,NA,0,82965.604,229018.68,90829.83,82768.8,2.74,12207.97,240.48,0,0,0,159924.26,82965.6,100655.01,82965.6,46118.72,319848.51,402617.31,402620.05,414828.02,NA,NA,27,4,0,41,10,0,8.75,5,0,0.5,0.5,0.5,32,128,32,32,NA,NA,224,56,960,4.989117233,4.989117233,5.135797815,NA,MSU,zero,four,LOW,MODERATE,46118.72,415068.5,621,23-Jun,105,9/24/2015,4,N,N,S,H,H,4085227,11800,High,High,High,High
10,FEMALE,I-15,89,820,MSU_1,,NA,MODERATE,NA,0,17936.138,12950.11,42249.22,27349.85,645.4,6486.11,0,491.23,0,0,27599.66,17936.14,20798.65,17936.14,10019.1,55199.33,82549.18,83194.58,89680.69,NA,NA,0,0,0,0,0,0,1.25,0,0.833333333,1,3,0.5,NA,128,64,64,NA,NA,256,85.33333333,780,9.394938943,9.394938943,6.477933409,NA,MSU,zero,four,LOW,MODERATE,10019.1,90171.92,50,12-Jun,105,9/24/2015,4,N,N,M,M,M,883026.6667,24200,Low,Moderate,Moderate,Moderate
30,MALE,I-15,78,970,MSU_2,,NA,MODERATE,NA,0,15478.772,31745.06,29278.49,12567.82,2370.81,1431.68,0,0,77.29,0,30511.78,15478.77,18990.54,15478.77,8607.9,61023.55,73591.37,75962.18,77393.85,NA,NA,80,80,80,22.14285714,17.85714286,0.5,3.571428571,5,0,2.5,4.5,1.5,64,128,32,32,NA,NA,256,64,970,8.991427528,8.991427528,6.380946446,NA,MSU,zero,three,LOW,LOW,8607.9,77471.14,102,23-Jun,105,9/24/2015,4,N,N,M,M,M,761340.6667,3805,Low,Moderate,Moderate,Moderate
45,FEMALE,I-15,71,800,MSU_3,,NA,LOW,NA,0,5905.962,1145.29,11437.46,1821.41,104.22,15021.43,0,0,0,0,6291.37,5905.96,3627.1,5905.96,3281.09,12582.75,14404.16,14508.38,29529.81,NA,NA,35,35,0.833333333,2.5,3,1,5,2.777777778,1.111111111,0,1,1,64,256,64,64,NA,NA,448,112,850,10,10,7.508128606,NA,MSU,zero,three,LOW,LOW,3281.09,29529.81,474,30-Jun,105,9/24/2015,4,N,N,M,M,M,290769.1667,0,Low,Moderate,Moderate,Moderate
27,MALE,I-15,79,990,MSU_2,,NA,LOW,NA,0,5355.174,1979.63,9474.41,12923.07,2387.95,10.81,0,0,0,0,5727.02,5355.17,6691.27,5355.17,2975.1,11454.04,24377.11,26765.06,26775.87,NA,NA,NA,NA,NA,29,10,4.5,NA,NA,NA,0,0,0,64,NA,64,64,NA,NA,192,64,900,8.768233211,8.768233211,6.007166995,NA,MSU,zero,three,LOW,LOW,2975.1,26775.87,522,22-Jun,105,9/24/2015,3,Y,N,L,M,M,263549.7333,0,Low,Moderate,Moderate,Moderate
12,MALE,I-15,87,940,MSU_1,,NA,LOW,NA,0,1940.414,38.13,9448.64,215.3,0,0,0,0,0,0,4743.39,1940.41,2425.52,1940.41,1078.01,9486.77,9702.07,9702.07,9702.07,NA,NA,NA,NA,75.5,36.5,5,7,44,26,5,0.5,2,0.5,128,128,64,64,NA,NA,384,96,1010,8.83425151,8.83425151,5.14174037,NA,MSU,zero,three,LOW,LOW,1078.01,9702.07,3,14-Jun,105,9/24/2015,4,N,N,L,L,L,95524.59143,0,Low,Low,Low,Low
37,MALE,I-15,76,840,MSU_2,,NA,LOW,NA,0,56.608,0.88,282.16,0,0,0,935.27,0,0,0,141.52,56.61,70.76,56.61,135.37,283.04,283.04,283.04,283.04,NA,NA,2.857142857,4.285714286,1.428571429,23,17,2,7.5,4.5,4,0,2.5,0.5,NA,0,0,8,NA,NA,8,2.666666667,1010,8.884497803,8.884497803,6.291253688,NA,MSU,zero,two,LOW,LOW,135.37,1218.31,123,25-Jun,105,9/24/2015,4,N,N,L,L,L,2786.7,46000,Low,Low,Low,Low
44,FEMALE,I-29,71,826,MSU_3,,NA,HIGH,NA,0,73301.608,248348.22,94133.12,18781.49,5243.67,1.54,0,0,0,0,171240.67,73301.61,91626.62,73301.61,40723.11,342481.34,361262.83,366506.5,366508.03,NA,NA,0,0,0.714285714,0,0.555555556,2.5,NA,NA,0.5,3,3.5,1,NA,128,NA,32,64,64,288,72,890,8.2,8.2,5.7,NA,MSU,zero,four,LOW,MODERATE,40723.11,366508.03,404,30-Jun,105,10/8/2015,4,N,N,S,H,H,3610481.766,0,High,High,High,High
40,MALE,I-29,75,840,MSU_3,,NA,HIGH,NA,0,64568.482,303495.19,208.24,16811.22,2273.51,54.25,0,0,0,0,151851.72,64568.48,80697.04,64568.48,35871.38,303703.43,320514.65,322788.16,322842.41,NA,NA,2.5,2.5,3.5,11,8.5,0,0,0,0,0,1,0.5,32,256,32,64,64,64,512,85.33333333,850,9.000677742,9.000677742,5.418465214,NA,MSU,zero,four,LOW,MODERATE,35871.38,322842.41,213,26-Jun,105,10/8/2015,4,N,N,M,H,H,3177168.666,0,High,High,High,High
36,FEMALE,I-29,76,850,MSU_2,,NA,MODERATE,NA,0,43707.28,63902.3,52348.11,19832.24,74968.79,7484.96,5.65,0,101.79,0,58125.2,43707.28,52762.86,43707.28,24293.76,116250.41,136082.65,211051.44,218536.4,NA,NA,1.5,2.5,5,2.5,1,2,1.5,3,2.5,1.5,3,0,128,256,256,64,128,128,960,160,1040,9.687681167,9.687681167,6.584435378,NA,MSU,zero,four,LOW,MODERATE,24293.76,218643.84,123,25-Jun,105,10/8/2015,4,N,N,NA,H,H,2150800,0,Low,Moderate,High,High
3,MALE,I-29,100,890.4,MSU_1,,NA,MODERATE,NA,0,25074.842,60228.22,5392.7,59614.6,71.73,66.96,0,0,0,0,32810.46,25074.84,31326.81,25074.84,13930.47,65620.92,125235.52,125307.25,125374.21,NA,NA,80,45,23,50,41,5,75,40,23,35,29,75.5,32,128,32,32,64,128,416,69.33333333,890,8.94497535,8.94497535,5.794370808,NA,MSU,zero,four,LOW,MODERATE,13930.47,125374.21,33,1-Jun,105,10/8/2015,4,N,N,M,M,M,1235132.667,0,Low,Moderate,Moderate,Moderate
77,MALE,I-29,57,730,MSU_5,,NA,MODERATE,NA,0,11090.008,33051.88,17385.98,3988.43,384.7,639.05,0,0,0,0,25218.93,11090.01,13702.75,11090.01,6161.12,50437.85,54426.29,54810.99,55450.04,NA,NA,80,80,48.5,5,5,5,71,66.5,20,0,0.5,1,256,256,32,64,64,32,704,117.3333333,910,10,10,9.138423556,NA,MSU,zero,three,LOW,LOW,6161.12,55450.04,620,14-Jul,105,10/8/2015,4,Y,N,M,M,M,546544.6667,0,Low,Moderate,Moderate,Moderate
9,MALE,I-29,97,900.2,MSU_1,,NA,MODERATE,NA,0,7765.025,0.69,NA,22102.83,8779.28,177.3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.333333333,0.714285714,75.5,29,3.5,80,33.33333333,29,0,2.5,7.5,64,128,64,128,128,64,576,96,910,9.035522868,9.035522868,7.730758543,NA,MSU,zero,NA,LOW,NA,3882.51,31060.1,52,4-Jun,105,10/8/2015,4,N,Y,M,M,M,382774.2833,0,Low,Moderate,Moderate,Moderate
